Year,donorcode,donorname,agencycode,agencyname,crsid,projectnumber,initialreport,recipientcode,recipientname,regioncode,regionname,incomegroupcode,incomegroupname,flowcode,flowname,bi_multi,category,finance_t,aid_t,usd_commitment,usd_disbursement,usd_received,usd_commitment_defl,usd_disbursement_defl,usd_received_defl,usd_adjustment,usd_adjustment_defl,usd_amountuntied,usd_amountpartialtied,usd_amounttied,usd_amountuntied_defl,usd_amountpartialtied_defl,usd_amounttied_defl,usd_IRTC,usd_expert_commitment,usd_expert_extended,usd_export_credit,currencycode,commitment_national,disbursement_national,shortdescription,projecttitle,purposecode,purposename,sectorcode,sectorname,channelcode,channelname,channelreportedname,geography,expectedstartdate,completiondate,longdescription,gender,environment,trade,pdgg,FTC,PBA,investmentproject,assocfinance,biodiversity,climateMitigation,climateAdaptation,desertification,commitmentdate,typerepayment,numberrepayment,interest1,interest2,repaydate1,repaydate2,grantelement,usd_interest,usd_outstanding,usd_arrears_principal,usd_arrears_interest,usd_future_DS_principal,usd_future_DS_interest
2004,6,Italy,2,AGEA,200400S160z,,3,740,"Korea, Dem. Rep.",,,10017,Other LICs,11,ODA Grants,1,10,110,,,3.7271700000000001,,,4.705350016688902,,,,,,,,,,,,,,302,,3.7271700000000001,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S147z,,3,251,Liberia,,,10016,LDCs,11,ODA Grants,1,10,110,,,1.2423900000000001,,,1.5684500055629673,,,,,,,,,,,,,,302,,1.2423900000000001,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S148z,,3,252,Madagascar,,,10016,LDCs,11,ODA Grants,1,10,110,,,1.2423900000000001,,,1.5684500055629673,,,,,,,,,,,,,,302,,1.2423900000000001,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S149z,,3,256,Mauritania,,,10016,LDCs,11,ODA Grants,1,10,110,,,1.1259400000000002,,,1.4214381951428838,,,,,,,,,,,,,,302,,1.1259400000000002,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S150z,,3,259,Mozambique,,,10016,LDCs,11,ODA Grants,1,10,110,,,0.69322000000000006,,,0.87515265967720302,,,,,,,,,,,,,,302,,0.69322000000000006,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S158z,,3,454,Peru,,,10019,UMICs,11,ODA Grants,1,10,110,,,0.62120000000000009,,,0.78423131501035526,,,,,,,,,,,,,,302,,0.62120000000000009,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S151z,,3,269,Senegal,,,10016,LDCs,11,ODA Grants,1,10,110,,,0.62120000000000009,,,0.78423131501035526,,,,,,,,,,,,,,302,,0.62120000000000009,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S153z,,3,272,Sierra Leone,,,10016,LDCs,11,ODA Grants,1,10,110,,,1.2230099999999999,,,1.5439838064565592,,,,,,,,,,,,,,302,,1.2230099999999999,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S154z,,3,273,Somalia,,,10016,LDCs,11,ODA Grants,1,10,110,,,0.72020000000000006,,,0.90921344666847703,,,,,,,,,,,,,,302,,0.72020000000000006,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S155z,,3,278,Sudan,,,10016,LDCs,11,ODA Grants,1,10,110,,,3.7271700000000001,,,4.705350016688902,,,,,,,,,,,,,,302,,3.7271700000000001,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S159z,,3,550,West Bank & Gaza Strip,,,10018,LMICs,11,ODA Grants,1,10,110,,,0.49695999999999996,,,0.62738505200828421,,,,,,,,,,,,,,302,,0.49695999999999996,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,2,AGEA,200400S156z,,3,288,Zambia,,,10016,LDCs,11,ODA Grants,1,10,110,,,0.62119000000000002,,,0.78421869055261206,,,,,,,,,,,,,,302,,0.62119000000000002,Food aid/Food security programmes,,52010,Food aid/Food security programmes,520,VI.2. Dev. Food Aid/Food Security Ass.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,4,DGCS,200400S243z,,3,625,Afghanistan,,,10016,LDCs,11,ODA Grants,1,10,110,,,7.7649399999999993,,,9.80281569088298,,,,,,,,,,,,,,302,,7.7649399999999993,Sectors not specified,,99810,Sectors not specified,998,IX. Unallocated / Unspecified,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,4,DGCS,200400S088z,,3,625,Afghanistan,,,10016,LDCs,11,ODA Grants,1,10,110,,,0.80010000000000003,,,1.0100828640370014,,,,,,,,,,,,,,302,,0.80010000000000003,Public sector policy and adm. management,,15110,Public sector policy and adm. management,151,I.5.a. Government & Civil Society-general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,4,DGCS,200400S135z,,3,625,Afghanistan,,,10016,LDCs,11,ODA Grants,1,10,110,,,1.8635899999999999,,,2.3526813205733226,,,,,,,,,,,,,,302,,1.8635899999999999,Multisector education/training,,43081,Multisector education/training,430,IV.2. Other Multisector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,6,Italy,4,DGCS,2004000085z,007803/03/6,1,625,Afghanistan,,,10016,LDCs,11,ODA Grants,1,10,110,,1.2423903590508101,,,1.5684504588451453,,,,,1.2423903590508101,,,1.5684504588451453,,,,,,,302,1.2423903590508101,,IMPROVEMENTS IN KABUL - BAMYAN ROAD - CONTRIBUTION TO UNDP,IMPROVEMENTS IN KABUL - BAMYAN ROAD - CONTRIBUTION TO UNDP,99810,Sectors not specified,998,IX. Unallocated / Unspecified,,,,,,,FORM AID CONTRIBUTION : EMERGENCY AID,0,0,,0,,,,,,,,,2004-01-01 00:00:00,,,,,,,100.0,,,,,,
2004,6,Italy,4,DGCS,2004000687z,007954/02/6,1,625,Afghanistan,,,10016,LDCs,11,ODA Grants,1,10,110,,0.15675517455584501,0.11871999999999999,,0.19789490772151982,0.14987756232780003,,,,0.15675517455584501,,,0.19789490772151982,,,,,,,302,0.15675517455584501,0.11871999999999999,URGENT INTERVENTIONS FOR ROAD TRANSPORT IN MAIDAN SHAR-BAMYAN,URGENT INTERVENTIONS FOR ROAD TRANSPORT IN MAIDAN SHAR-BAMYAN,99810,Sectors not specified,998,IX. Unallocated / Unspecified,,,,,,,FORM AID CONTRIBUTION : PROJECT AID,,,,,,,1,,,,,,2004-01-01 00:00:00,,,,,,,100.0,,,,,,
2004,6,Italy,4,DGCS,2004002403z,007915/02/5,1,625,Afghanistan,,,10016,LDCs,11,ODA Grants,1,10,110,,4.7521431233693602E-3,4.7499999999999999E-3,,5.9993230050826955E-3,5.9966174280411903E-3,,,,4.7521431233693602E-3,,,5.9993230050826955E-3,,,,,,,302,4.7521431233693602E-3,4.7499999999999999E-3,HANDBOOK TO COMMENT AFGHAN LEGAL SUBJECT,HANDBOOK TO COMMENT AFGHAN LEGAL SUBJECT,15130,Legal and judicial development,151,I.5.a. Government & Civil Society-general,,,,,,,FORM AID CONTRIBUTION : PROJECT AID,0,0,,2,,,1,,,,,,2004-01-01 00:00:00,,,,,,,100.0,,,,,,
